Registration dates,00-15,16-20,21-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,Grand Total
Apr-1988,,,,,,,.,.,.,.,13
Apr-1989,,,,,,,.,.,.,.,14
Apr-1990,,,,,,.,.,.,.,.,22
Apr-1991,,,,,,.,.,15,12,.,38
Apr-1992,,,,,.,.,20,21,21,12,78
Apr-1993,,,,,.,11,12,39,20,.,94
Apr-1994,,,.,,.,11,19,26,25,.,95
Apr-1995,,,,,.,28,23,33,26,.,124
Apr-1996,,,,,14,30,41,65,41,.,200
Apr-1997,,,,.,15,39,53,75,48,.,241
Apr-1998,,,,,20,29,61,93,56,14,273
Apr-1999,,,,.,16,49,59,99,53,.,289
Apr-2000,,,,.,20,51,94,142,61,14,383
Apr-2001,,,.,,16,62,117,155,81,31,463
Apr-2002,,,,.,30,68,184,191,117,26,618
Apr-2003,,,,.,24,78,152,198,106,14,577
Apr-2004,,,,.,30,63,149,170,119,11,545
Apr-2005,,,.,11,48,62,164,161,101,18,566
Apr-2006,,,.,.,44,78,155,154,69,13,522
Apr-2007,,,.,.,44,91,141,156,55,.,505
Apr-2008,,,.,16,58,166,254,219,104,17,837
Apr-2009,,,.,21,69,166,280,208,87,12,847
Apr-2010,,.,.,36,81,199,272,198,94,24,911
Apr-2011,,,.,34,98,211,309,245,87,12,1003
Apr-2012,,.,.,35,116,241,317,253,102,13,1083
Apr-2013,,.,.,53,131,305,335,238,79,.,1160
Apr-2014,,,.,48,104,211,262,199,58,.,896
Apr-2015,.,.,16,47,143,240,254,155,49,.,912
Apr-2016,,.,11,51,156,229,216,123,50,.,845
Apr-2017,.,.,23,53,127,253,223,182,65,13,942
Aug-1987,,,,,,.,.,11,.,.,35
Aug-1988,,,.,,,.,,11,.,.,22
Aug-1989,,,,,,.,.,.,.,.,19
Aug-1990,,,,,,.,.,11,.,.,29
Aug-1991,,,,,,.,.,20,19,.,56
Aug-1992,,,,,.,.,14,27,11,16,74
Aug-1993,,,,,11,18,35,33,15,.,116
Aug-1994,,,.,,.,27,29,48,40,12,162
Aug-1995,,,,.,11,18,42,68,33,16,189
Aug-1996,,,,.,14,30,35,70,40,15,205
Aug-1997,,.,,.,11,33,57,88,54,.,254
Aug-1998,,,,,14,45,65,81,63,20,288
Aug-1999,,,,.,13,38,93,135,87,14,382
Aug-2000,,,,.,17,63,124,153,98,19,475
Aug-2001,,,.,.,23,67,151,181,106,16,548
Aug-2002,,,,.,26,75,173,205,98,26,607
Aug-2003,,,,.,26,85,166,196,106,17,602
Aug-2004,,,.,.,41,87,208,199,105,25,671
Aug-2005,,,.,.,41,89,207,201,106,23,678
Aug-2006,,,.,.,48,124,196,232,97,13,720
Aug-2007,,,.,15,71,145,225,214,104,11,786
Aug-2008,,,.,15,70,162,235,212,84,.,789
Aug-2009,,,.,21,78,193,270,244,93,19,922
Aug-2010,,,.,23,115,205,343,295,101,21,1108
Aug-2011,.,,.,39,131,285,427,312,111,14,1324
Aug-2012,,,.,40,149,308,376,280,95,13,1270
Aug-2013,.,.,12,51,129,283,332,239,96,12,1157
Aug-2014,,.,12,61,147,250,302,212,62,.,1059
Aug-2015,.,.,15,50,140,232,262,180,45,.,939
Aug-2016,.,.,16,55,171,259,308,247,99,14,1175
Aug-2017,.,.,24,106,207,298,316,230,75,11,1273
Dec-1987,,,,,.,.,.,.,.,,15
Dec-1988,,,,,,,.,.,.,.,14
Dec-1989,,,,,,.,.,.,.,.,14
Dec-1990,,,,,,,.,.,11,.,25
Dec-1991,,,,,.,.,.,17,.,.,49
