Code,Description,,,,,
ACQ,Acquisition from direct mail,,,,,
CLINIC,Sourced at Clinic visit,,,,,
D2D,Door to door,,,,,
EQI,Add by EQI eg prospective donor,,,,,
EQI-RC,Regional contacts added by EQI,,,,,
EVENT,Event – EQI F-R events / AGM,,,,,
INMEM,In memoriam (funeral etc),,,,,
LPA,Little Poss Appeal,,,,,
MARKET,Marketing eg brochure/expo/media,,,,,
MEMPRE10,Member pre-2010 update,,,,,
OLD,Contacts in EQI phone book,,,,,
ON-LINE,OurComm/Website/EdayHero/E-news,,,,,
P2P,Peer to peer,,,,,
PERSONAL,Personal Relationship,,,,,
PRE-2010,Pre-jan 2010 updates,,,,,
PRE DM,Pre-Donman contact,,,,,
PURPLE,Purple Day,,,,,
RAFFLE,Raffle or art union sales,,,,,
REFERAL,Referred by professional,,,,,
SALES,Sales,,,,,
SEMINAR,Seminar/symposia attendees,,,,,
SERV,Services clients/info required,,,,,
STAFF,Staff of Epilepsy Queensland,,,,,
TELE,Telemarketing,,,,,
TRAINING,External training Attendees,,,,,
TRIVIA,Trivia Challenge Participants,,,,,
UNSOL,Unsolicited new contact,,,,,
WORKSHOP,Understanding Epilepsy attendees,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
