Code,Description,,,,,
AGM,Annual General Meeting,,,,,
ANNREPT,Annual Report,,,,,
APPEAL,To receive both tax & Xmas appeal letters,,,,,
E-EDUCATE,Email education activities,,,,,
E-FLAME,Flame emailed,,,,,
E-LPCNEWS,LPC Newsletter emailed,,,,,
E-LIVEWIRE,Livewires emailed,,,,,
EREPORT,E-report,,,,,
EDUC-ACT,Education Activities,,,,,
FLAME,Flame,,,,,
LIVEWIRE,Livewire,,,,,
LPCNEWS,Little Poss Newsletter,,,,,
MEMORIAL,Memorial services invitation list,,,,,
SG-ADULT,Support group – Brisbane Adult,,,,,
SG-CMPLX,Support group – carers of complex epilepsy,,,,,
SG-NORTH,Support Group – Northside,,,,,
TAXAPPL,Tax Appeal,,,,,
XMASAPPL,Christmas appeal,,,,,
XMASCARD,Christmas card list,,,,,
,,,,,,
,,,,,,
