ID,AircraftID,AssetFeatureID,Value
2,17,3,920.0000
3,86,3,920.0000
4,72,3,1600.0000
5,92,3,1600.0000
6,64,3,920.0000
7,63,3,920.0000
8,69,3,920.0000
9,16,3,920.0000
10,71,3,920.0000
11,62,3,920.0000
12,68,3,920.0000
13,15,3,920.0000
14,83,3,920.0000
15,73,3,920.0000
16,17,1,3.0000
17,86,1,3.0000
18,72,1,4.0000
19,92,1,4.0000
20,64,1,3.0000
21,63,1,1.0000
22,69,1,3.0000
23,16,1,1.0000
24,71,1,3.0000
25,62,1,3.0000
26,68,1,1.0000
27,15,1,3.0000
28,83,1,3.0000
29,17,5,1.0000
30,86,5,1.0000
31,72,5,2.0000
32,92,5,2.0000
33,64,5,1.0000
34,69,5,1.0000
35,71,5,1.0000
36,62,5,1.0000
37,15,5,1.0000
38,83,5,1.0000
49,17,2,1.0000
50,86,2,1.0000
51,72,2,1.0000
52,92,2,1.0000
53,64,2,1.0000
54,69,2,1.0000
55,71,2,1.0000
56,62,2,1.0000
57,15,2,1.0000
58,83,2,1.0000
59,17,6,2.0000
60,86,6,2.0000
61,72,6,2.0000
62,92,6,2.0000
63,64,6,2.0000
64,69,6,2.0000
65,71,6,2.0000
66,62,6,2.0000
67,15,6,2.0000
68,83,6,2.0000
69,17,4,257.0000
70,86,4,257.0000
71,72,4,276.0000
72,92,4,276.0000
73,64,4,257.0000
74,63,4,257.0000
75,69,4,257.0000
76,16,4,257.0000
77,71,4,257.0000
78,62,4,257.0000
79,68,4,257.0000
80,15,4,257.0000
81,83,4,257.0000
82,17,7,180.0000
83,86,7,180.0000
84,64,7,180.0000
85,63,7,215.0000
86,69,7,180.0000
87,16,7,215.0000
88,71,7,180.0000
89,62,7,180.0000
90,68,7,215.0000
91,15,7,180.0000
92,83,7,180.0000
93,72,7,250.0000
94,92,7,250.0000
