ID,BaseId,CallSign,Taskable,SortOrder,CallSignStatusID,Comment,EmailAddress,AircraftID,Destination,ETA,SelfTask,Active,ONREmail
1,1,1,1,5,4,Hello,efb-BN@rfdsqld.com.au,15,NULL,NULL,1,1,NULL
2,1,2,1,10,2,NULL,efb-BN@rfdsqld.com.au,NULL,NULL,NULL,1,1,NULL
3,2,1,1,15,2,NULL,abc@rfdsqld.com.au,92,NULL,NULL,0,1,NULL
4,3,1,1,20,4,NULL,NULL,63,YWND,NULL,0,1,NULL
5,3,2,1,25,1,Shift Comment,NULL,78,YBRK,NULL,0,1,NULL
6,4,1,1,30,1,Comment 1,NULL,86,YTWB,2016-11-16 13:23:00.000,0,1,NULL
7,4,2,1,35,4,NULL,NULL,62,NULL,NULL,NULL,1,NULL
8,5,1,1,40,NULL,NULL,NULL,83,NULL,NULL,0,1,NULL
9,5,C1,1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
10,5,C2,1,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
11,5,C3,1,55,1,NULL,NULL,71,NULL,NULL,0,1,NULL
12,6,1,1,60,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL
13,6,C1,1,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
14,6,C2,1,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
15,7,1,1,75,4,NULL,NULL,72,YBCS,NULL,NULL,1,NULL
16,8,1,1,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
17,5,Spare,0,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
18,5,Spare,0,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
19,1,Spare,0,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
20,10,MDU,1,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
21,10,MDU,1,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
25,1,Maint,0,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
26,2,Maint,0,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
27,3,Maint,0,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
28,4,Maint,0,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
29,5,Maint,0,123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
30,6,Maint,0,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
31,7,Maint,0,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
32,8,Maint,0,133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
