"ID","MissionID","DepartureLocationID","DepartureDescription","DestinationID","DestinationDescription","RouteOrder","ETD","ATD","ETA","ATA","EngineStart","EngineStop","DelayReasonID","DateCreated","CreatedBy","DateModified","ModifiedBy","DelayComment","LegCodeID","Active","StopSAR"
"32441","88464","682","","107","","1000","","","","","","","","","","","","","","","False"
"32442","88464","107","","682","","1050","","","","","","","","","","","","","","","False"
"32443","88464","682","","1142","","1100","","","","","","","","","","","","","","","False"
"32444","88464","1142","","682","","1150","","","","","","","","","","","","","","","False"
"32396","88465","980","","227","","1000","","","15/09/2017 8:25:00 AM","","","","","","","15/09/2017 8:27:44 AM","K2:GOLDCOAST\david.gilson","","","False","False"
"32397","88465","227","","980","","1050","","","","","","","","","","","","","","","False"
"32398","88465","980","","682","","1100","","","","","","","","","","","","","","","False"
"32399","88465","682","","980","","1150","","","","","","","","","","","","","","","False"
"32435","88466","835","","353","","1000","","","","","","","","","","","","","","","False"
"32436","88466","353","","835","","1050","","","","","","","","","","","","","","","False"
"32437","88466","835","","156","","1100","","","","","","","","","","","","","","","False"
"32438","88466","156","","353","","1150","","","","","","","","","","","","","","","False"
"32439","88466","353","","114","","1200","","","","","","","","","","","","","","","False"
"32440","88466","114","","835","","1250","","","","","","","","","","","","","","","False"
"32421","88467","156","","448","","1000","","","","","","","","","","","","","","","False"
"32422","88467","448","","156","","1050","","","","","","","","","","","","","","","False"
"32423","88467","156","","514","","1100","","","","","","","","","","","","","","","False"
"32424","88467","514","","156","","1150","","","","","","","","","","","","","","","False"
"32425","88467","156","","448","","1200","","","","","","","","","","","","","","","False"
"32426","88467","448","","156","","1250","","","","","","","","","","","","","","","False"
"32430","88468","980","","980","","1000","","","","","","","","","","","","","","","False"
"32431","88468","980","","458","","1050","","","","","","","","","","","","","","","False"
"32432","88468","458","","980","","1100","","","","","","","","","","","","","","","False"
"32433","88468","980","","190","","1150","","","","","","","","","","","","","","","False"
"32434","88468","190","","980","","1200","","","","","","","","","","","","","","","False"
"32445","88469","156","","448","","1000","","","","","","","","","","","","","","","False"
"32446","88469","448","","156","","1050","","","","","","","","","","","","","","","False"
"32447","88469","156","","389","","1100","","","","","","","","","","","","","","","False"
"32448","88469","389","","173","","1150","","","","","","","","","","","","","","","False"
"32449","88469","173","","399","","1200","","","","","","","","","","","","","","","False"
"32450","88469","399","","156","","1250","","","","","","","","","","","","","","","False"
"32418","88470","835","","156","","1000","","","","","","","","","","","","","","False","False"
"32419","88470","156","","173","","1050","","","","","","","","","","","","","","","False"
"32420","88470","173","","835","","1100","","","","","","","","","","","","","","","False"
"32427","88471","173","","448","","1000","","","","","","","","","","","","","","False","False"
"32428","88471","448","","156","","1050","","","","","","","","","","","","","","","False"
"32429","88471","156","","173","","1100","","","","","","","","","","","","","","","False"
"32451","88472","835","","706","","1000","","","","","","","","","","","","","","False","False"
"32452","88472","706","","156","","1050","","","","","","","","","","","","","","","False"
"32453","88472","156","","835","","1100","","","","","","","","","","","","","","","False"
"32468","88473","980","","190","","1000","","","","","","","","","","","","","","","False"
"32469","88473","190","","980","","1050","","","","","","","","","","","","","","","False"
"32470","88473","980","","777","","1100","","","","","","","","","","","","","","","False"
"32471","88473","777","","980","","1150","","","","","","","","","","","","","","","False"
"32456","88474","173","","156","","1000","","","","","","","","","","","","","","False","False"
"32457","88474","156","","173","","1050","","","","","","","","","","","","","","","False"
"32458","88475","190","","1033","","1000","","","","","","","","","","","","","","False","False"
"32459","88475","1033","","804","","1050","","","","","","","","","","","","","","","False"
"32460","88475","804","","190","","1100","","","","","","","","","","","","","","","False"
"32461","88476","682","","660","","1000","","","","","","","","","","","","","","False","False"
"32462","88476","660","","743","","1050","","","","","","","","","","","","","","","False"
"32463","88476","743","","682","","1100","","","","","","","","","","","","","","","False"
"32464","88478","156","","514","","1000","","","","","","","","","","","","","","False","False"
"32465","88478","514","","976","","1050","","","","","","","","","","","","","","","False"
"32466","88478","976","","448","","1100","","","","","","","","","","","","","","","False"
"32467","88478","448","","156","","1150","","","","","","","","","","","","","","","False"
"32509","88479","835","","1066","","1000","","","","","","","","","","","","","","","False"
"32510","88479","1066","","156","","1050","","","","","","","","","","","","","","","False"
"32511","88479","156","","353","","1100","","","","","","","","","","","","","","","False"
"32512","88479","353","","835","","1150","","","","","","","","","","","","","","","False"
"32515","88480","980","","584","","1000","16/09/2017 7:30:00 AM","","","","","","","","","16/09/2017 12:33:37 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32516","88480","584","","980","","1050","16/09/2017 9:30:00 AM","","","","","","","","","16/09/2017 12:33:44 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32517","88480","980","","682","","1100","16/09/2017 1:00:00 PM","","","","","","","","","16/09/2017 12:33:59 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32518","88480","682","","980","","1150","16/09/2017 4:00:00 PM","","","","","","","","","16/09/2017 12:34:07 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32489","88481","682","","997","","1000","","","","","","","","","","","","","","","False"
"32490","88481","997","","682","","1050","","","","","","","","","","","","","","","False"
"32491","88481","682","","980","","1100","","","","","","","","","","","","","","","False"
"32492","88481","980","","682","","1150","","","","","","","","","","","","","","","False"
"32519","88482","173","","70","","1000","","","","","","","","","","","","","","","False"
"32520","88482","70","","628","","1050","","","","","","","","","","","","","","","False"
"32521","88482","628","","976","","1100","","","","","","","","","","","","","","","False"
"32522","88482","976","","156","","1150","","","","","","","","","","","","","","","False"
"32523","88482","156","","389","","1200","","","","","","","","","","","","","","","False"
"32524","88482","389","","173","","1250","","","","","","","","","","","","","","","False"
"32484","88483","156","","976","","1000","","","","","","","","","","","","","","","False"
"32485","88483","976","","415","","1050","","","","","","","","","","","","","","","False"
"32486","88483","415","","706","","1100","","","","","","","","","","","","","","","False"
"32487","88483","706","","976","","1150","","","","","","","","","","","","","","","False"
"32488","88483","976","","156","","1200","","","","","","","","","","","","","","","False"
"32532","88484","156","","448","","1000","","","","","","","","","","","","","","","False"
"32533","88484","448","","156","","1050","","","","","","","","","","","","","","","False"
"32534","88484","156","","514","","1100","","","","","","","","","","","","","","","False"
"32535","88484","514","","1202","","1150","","","","","","","","","","","","","","","False"
"32536","88484","1202","","156","","1200","","","","","","","","","","","","","","","False"
"32500","88485","156","","976","","1000","","","","","","","","","","","","","","False","False"
"32501","88485","976","","415","","1050","","","","","","","","","","","","","","","False"
"32502","88485","415","","156","","1100","","","","","","","","","","","","","","","False"
"32503","88485","156","","706","","1150","","","","","","","","","","","","","","","False"
"32504","88485","706","","976","","1200","","","","","","","","","","","","","","","False"
"32505","88485","976","","156","","1250","","","","","","","","","","","","","","","False"
"32527","88486","835","","569","","1000","","","","","","","","","","","","","","","False"
"32528","88486","569","","70","","1050","","","","","","","","","","","","","","","False"
"32529","88486","70","","835","","1100","","","","","","","","","","","","","","","False"
"32530","88486","835","","156","","1150","","","","","","","","","","","","","","","False"
"32531","88486","156","","835","","1200","","","","","","","","","","","","","","","False"
"32537","88487","980","","682","","1000","","","","","","","","","","","","","","","False"
"32538","88487","682","","980","","1050","","","","","","","","","","","","","","","False"
"32539","88487","980","","777","","1100","","","","","","","","","","","","","","","False"
"32540","88487","777","","980","","1150","","","","","","","","","","","","","","","False"
"32525","88488","190","","455","","1000","","","","","","","","","","","","","","False","False"
"32526","88488","455","","190","","1050","","","","","","","","","","","","","","","False"
"32541","88489","173","","156","","1000","","","","","","","","","","","","","","False","False"
"32542","88489","156","","448","","1050","","","","","","","","","","","","","","","False"
"32543","88489","448","","156","","1100","","","","","","","","","","","","","","","False"
"32544","88489","156","","173","","1150","","","","","","","","","","","","","","","False"
"32557","88490","835","","399","","1000","","","","","","","","","","","","","","","False"
"32558","88490","399","","156","","1050","","","","","","","","","","","","","","","False"
"32559","88490","156","","951","","1100","","","","","","","","","","","","","","","False"
"32560","88490","951","","353","","1150","","","","","","","","","","","","","","","False"
"32561","88490","353","","835","","1200","","","","","","","","","","","","","","","False"
"32549","88491","156","","931","","1000","","","","","","","","","","","","","","False","False"
"32550","88491","931","","976","","1050","","","","","","","","","","","","","","","False"
"32551","88491","976","","1144","","1100","","","","","","","","","","","","","","","False"
"32552","88491","1144","","156","","1150","","","","","","","","","","","","","","","False"
"32566","88492","190","","50","","1000","","","","","","","","","","","","","","","False"
"32567","88492","50","","1033","","1050","","","","","","","","","","","","","","","False"
"32568","88492","1033","","190","","1100","","","","","","","","","","","","","","","False"
"32555","88493","682","","144","","1000","","","","","","","","","","","","","","False","False"
"32556","88493","144","","682","","1050","","","","","","","","","","","","","","","False"
"32624","88494","980","","810","","1000","","","","","","","","","","","","","","False","False"
"32625","88494","810","","980","","1050","","","","","","","","","","","","","","False","False"
"32626","88494","980","","584","","1100","","","17/09/2017 2:25:00 PM","","","","","","","17/09/2017 1:45:57 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32627","88494","584","","980","","1150","","","17/09/2017 4:35:00 PM","","","","","","","17/09/2017 3:48:15 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32589","88495","835","","605","","1000","","","17/09/2017 9:45:00 AM","","","","","","","17/09/2017 8:54:53 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32590","88495","605","","448","","1050","","","17/09/2017 11:00:00 AM","","","","","","","17/09/2017 10:30:48 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32591","88495","448","","156","","1100","","","17/09/2017 1:30:00 PM","","","","","","","17/09/2017 12:59:52 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32592","88495","156","","835","","1150","","","17/09/2017 4:30:00 PM","","","","","","","17/09/2017 3:07:51 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32593","88496","173","","448","","1000","","","17/09/2017 8:30:00 AM","","","","","","","17/09/2017 9:02:27 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32594","88496","448","","156","","1050","","","17/09/2017 9:50:00 AM","","","","","","","17/09/2017 9:09:08 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32595","88496","156","","835","","1100","","","17/09/2017 11:45:00 AM","","","","","","","17/09/2017 10:31:09 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32596","88496","835","","156","","1150","","","17/09/2017 1:50:00 PM","","","","","","","17/09/2017 12:44:38 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32597","88496","156","","173","","1200","","","17/09/2017 4:30:00 PM","","","","","","","17/09/2017 3:43:12 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32582","88497","156","","235","","1000","17/09/2017 8:00:00 AM","","17/09/2017 9:00:00 AM","","","","","","","17/09/2017 8:31:28 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32583","88497","235","","976","","1050","17/09/2017 9:30:00 AM","","17/09/2017 9:40:00 AM","","","","","","","17/09/2017 9:21:34 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32584","88497","976","","628","","1100","17/09/2017 10:30:00 AM","","17/09/2017 11:25:00 AM","","","","","","","17/09/2017 11:05:26 AM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32585","88497","628","","639","","1150","17/09/2017 12:00:00 PM","","17/09/2017 12:30:00 PM","","","","","","","17/09/2017 12:10:18 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32586","88497","639","","841","","1200","17/09/2017 1:30:00 PM","","17/09/2017 1:15:00 PM","","","","","","","17/09/2017 1:04:05 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32587","88497","841","","514","","1250","17/09/2017 3:00:00 PM","","17/09/2017 3:10:00 PM","","","","","","","17/09/2017 2:26:25 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32588","88497","514","","156","","1300","17/09/2017 4:30:00 PM","","17/09/2017 4:15:00 PM","","","","","","","17/09/2017 3:33:39 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32620","88498","190","","50","","1000","","","","","","","","","","","","","","False","False"
"32621","88498","50","","33","","1050","","","","","","","","","","","","","","False","False"
"32622","88498","33","","246","","1100","","","","","","","","","","","","","","False","False"
"32623","88498","246","","190","","1150","","","17/09/2017 3:10:00 PM","","","","","","","17/09/2017 2:51:20 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32616","88499","682","","300","","1000","","","","","","","","","","","","","","False","False"
"32617","88499","300","","682","","1050","","","","","","","","","","","","","","False","False"
"32618","88499","682","","242","","1100","","","17/09/2017 1:15:00 PM","","","","","","","17/09/2017 12:59:27 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32619","88499","242","","682","","1150","","","","","","","","","","","","","","False","False"
"32602","88500","980","","190","","1000","","","17/09/2017 1:50:00 PM","","","","","","","17/09/2017 2:27:05 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32603","88500","190","","455","","1050","","","17/09/2017 4:40:00 PM","","","","","","","17/09/2017 2:52:11 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32604","88500","455","","980","","1100","","","","","","","","","","","","","","False","False"
"32612","88501","156","","293","","1000","","","17/09/2017 1:15:00 PM","","","","","","","17/09/2017 12:11:16 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32613","88501","293","","841","","1050","","","17/09/2017 2:20:00 PM","","","","","","","17/09/2017 2:14:39 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32614","88501","841","","1202","","1100","","","17/09/2017 4:05:00 PM","","","","","","","17/09/2017 3:10:47 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32615","88501","1202","","156","","1150","","","17/09/2017 5:00:00 PM","","","","","","","17/09/2017 4:25:56 PM","K2:GOLDCOAST\chris.heinemann","","","False","False"
"32628","88502","835","","399","","1000","","","","","","","","","","","","","","","False"
"32629","88502","399","","156","","1050","","","","","","","","","","","","","","","False"
"32630","88502","156","","173","","1100","","","","","","","","","","","","","","","False"
"32631","88502","173","","69","","1150","","","","","","","","","","","","","","","False"
"32632","88502","69","","835","","1200","","","","","","","","","","","","","","","False"
"32651","88503","835","","399","","1000","","","","","","","","","","","","","","False","False"
"32652","88503","399","","156","","1050","","","","","","","","","","","","","","False","False"
"32653","88503","156","","835","","1100","","","18/09/2017 12:15:00 AM","","","","","","","17/09/2017 11:36:27 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32647","88504","980","","190","","1000","","","","","","","","","","","","","","False","False"
"32648","88504","190","","980","","1050","","","","","","","","","","","","","","False","False"
"32649","88504","980","","458","","1100","","","17/09/2017 11:30:00 PM","","","","","","","17/09/2017 10:54:49 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32650","88504","458","","980","","1150","","","18/09/2017 12:30:00 AM","","","","","","","17/09/2017 11:43:11 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32637","88505","682","","17","","1000","","","","","","","","","","","","","","False","False"
"32638","88505","17","","682","","1050","","","","","","","","","","","","","","","False"
"32654","88506","190","","455","","1000","","","","","","","","","","","","","","False","False"
"32655","88506","455","","50","","1050","","","","","","","","","","","","","","False","False"
"32656","88506","50","","190","","1100","","","","","","","","","","","","","","False","False"
"32657","88506","190","","455","","1150","","","18/09/2017 3:00:00 AM","","","","","","","18/09/2017 1:36:12 AM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32658","88506","455","","190","","1200","","","","","","","","","","","","","","False","False"
"32644","88507","173","","448","","1000","","","","","","","","","","","","","","False","False"
"32645","88507","448","","156","","1050","","","","","","","","","","","","","","False","False"
"32646","88507","156","","173","","1100","","","17/09/2017 10:50:00 PM","","","","","","","17/09/2017 10:30:44 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32686","88508","980","","458","","1000","","","","","","","","","","","","","","False","False"
"32687","88508","458","","980","","1050","","","","","","","","","","","","","","False","False"
"32688","88508","980","","682","","1100","","","18/09/2017 2:15:00 PM","","","","","","","18/09/2017 12:37:35 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32689","88508","682","","980","","1150","","","18/09/2017 4:45:00 PM","","","","","","","18/09/2017 3:57:51 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32661","88509","173","","646","","1000","","","","","","","","","","","","","","False","False"
"32662","88509","646","","173","","1050","","","","","","","","","","","","","","","False"
"32665","88511","156","","399","","1000","18/09/2017 8:30:00 AM","","18/09/2017 9:30:00 AM","","","","","","","18/09/2017 11:02:10 AM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32666","88511","399","","835","","1050","18/09/2017 11:30:00 AM","","18/09/2017 12:00:00 PM","","","","","","","18/09/2017 11:53:14 AM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32683","88511","835","","156","","1100","18/09/2017 1:00:00 PM","","18/09/2017 2:40:00 PM","","","","","","","18/09/2017 2:00:35 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32704","88511","156","","514","","1150","18/09/2017 3:45:00 PM","","18/09/2017 4:15:00 PM","","","","","","","18/09/2017 3:55:56 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32705","88511","514","","156","","1200","18/09/2017 4:30:00 PM","","","","","","","","","18/09/2017 3:18:34 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32667","88512","835","","173","","1000","18/09/2017 8:00:00 AM","","18/09/2017 8:10:00 AM","","","","","","","18/09/2017 10:38:48 AM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32668","88512","173","","156","","1050","18/09/2017 9:15:00 AM","","18/09/2017 9:40:00 AM","","","","","","","18/09/2017 10:39:00 AM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32669","88512","156","","607","","1100","18/09/2017 11:30:00 AM","","18/09/2017 11:55:00 AM","","","","","","","18/09/2017 11:41:19 AM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32680","88512","607","","605","","1150","18/09/2017 1:00:00 PM","","","","","","","","","18/09/2017 10:39:27 AM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32681","88512","605","","156","","1200","18/09/2017 2:30:00 PM","","18/09/2017 3:45:00 PM","","","","","","","18/09/2017 3:57:02 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32682","88512","156","","835","","1250","18/09/2017 3:30:00 PM","","18/09/2017 6:00:00 PM","","","","","","","18/09/2017 4:31:25 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32706","88513","682","","660","","1000","18/09/2017 11:30:00 AM","","","","","","","","","18/09/2017 4:16:48 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32707","88513","660","","181","","1050","18/09/2017 1:00:00 PM","","","","","","","","","18/09/2017 4:16:42 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32708","88513","181","","682","","1100","18/09/2017 2:00:00 PM","","","","","","","","","18/09/2017 4:16:36 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32709","88513","682","","300","","1150","18/09/2017 3:30:00 PM","","","","","","","","","18/09/2017 4:15:47 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32711","88513","300","","682","","1200","18/09/2017 5:00:00 PM","","","","","","","","","18/09/2017 4:16:33 PM","K2:GOLDCOAST\cameron.campbell","","","","False"
"32672","88514","156","","448","","1000","18/09/2017 10:30:00 AM","","18/09/2017 11:00:00 AM","","","","","","","18/09/2017 2:33:27 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32673","88514","448","","605","","1050","18/09/2017 11:30:00 AM","","18/09/2017 12:05:00 PM","","","","","","","18/09/2017 2:33:32 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32674","88514","605","","156","","1100","18/09/2017 12:30:00 PM","","18/09/2017 12:50:00 PM","","","","","","","18/09/2017 2:33:38 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32701","88514","156","","448","","1150","18/09/2017 3:30:00 PM","","","","","","","","","18/09/2017 2:33:44 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32702","88514","448","","173","","1200","18/09/2017 4:30:00 PM","","18/09/2017 4:45:00 PM","","","","","","","18/09/2017 3:56:33 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32703","88514","173","","156","","1250","18/09/2017 5:15:00 PM","","","","","","","","","18/09/2017 2:33:57 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32675","88515","835","","156","","1000","18/09/2017 10:30:00 AM","","18/09/2017 12:20:00 PM","","","","","","","18/09/2017 12:54:22 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32677","88515","156","","835","","1100","18/09/2017 6:30:00 PM","","","","","","","","","18/09/2017 1:35:35 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32692","88515","156","","835","","1025","18/09/2017 1:30:00 PM","","18/09/2017 3:00:00 PM","","","","","","","18/09/2017 2:01:36 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32697","88515","835","","156","","1043","18/09/2017 4:00:00 PM","","18/09/2017 5:25:00 PM","","","","","","","18/09/2017 4:30:42 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32678","88516","980","","810","","1000","18/09/2017 10:00:00 AM","","18/09/2017 11:20:00 AM","","","","","","","18/09/2017 1:21:44 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32679","88516","810","","980","","1050","18/09/2017 11:30:00 AM","","18/09/2017 12:35:00 PM","","","","","","","18/09/2017 1:21:50 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32694","88516","980","","682","","1100","18/09/2017 1:30:00 PM","","18/09/2017 3:20:00 PM","","","","","","","18/09/2017 3:58:21 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32695","88516","682","","486","","1150","18/09/2017 3:30:00 PM","","18/09/2017 5:00:00 PM","","","","","","","18/09/2017 4:32:25 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32696","88516","486","","980","","1200","18/09/2017 4:30:00 PM","","","","","","","","","18/09/2017 1:22:10 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32690","88517","225","","487","","1000","18/09/2017 12:30:00 PM","","18/09/2017 1:50:00 PM","","","","","","","18/09/2017 2:01:10 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32699","88517","487","","976","","1050","18/09/2017 1:30:00 PM","","18/09/2017 4:00:00 PM","","","","","","","18/09/2017 2:03:22 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32700","88517","976","","225","","1100","18/09/2017 3:30:00 PM","","18/09/2017 6:00:00 PM","","","","","","","18/09/2017 5:49:19 PM","K2:GOLDCOAST\cameron.campbell","","","False","False"
"32729","88518","980","","584","","1000","","","","","","","","","","","","","","False","False"
"32730","88518","584","","980","","1050","","","","","","","","","","","","","","False","False"
"32731","88518","980","","584","","1100","","","19/09/2017 1:05:00 AM","","","","","","","19/09/2017 12:16:05 AM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32732","88518","584","","980","","1150","","","","","","","","","","","","","","False","False"
"32725","88519","156","","70","","1000","","","","","","","","","","","","","","False","False"
"32726","88519","70","","835","","1050","","","18/09/2017 11:30:00 PM","","","","","","","18/09/2017 11:37:17 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
