"ID","Mission_Number","Time_of_Initial_Call","Aircraft_ID","Mission_Activation_Time","Date_and_Time_Connected_to_Asset","TaskStatusID","BaseShiftID","TaskTypeID","SectorID"
"88464","LFA8962","15/09/2017 6:03:15 AM","100","15/09/2017 6:03:43 AM","","3","16","22","2"
"88465","LFA8963","15/09/2017 6:35:17 AM","86","15/09/2017 6:35:24 AM","","3","11","21","2"
"88466","LFA8964","15/09/2017 6:48:47 AM","83","15/09/2017 6:48:56 AM","","3","8","21","2"
"88467","LFA8965","15/09/2017 6:54:33 AM","97","15/09/2017 6:54:42 AM","15/09/2017 6:54:41 AM","3","2","21","2"
"88468","LFA8966","15/09/2017 9:56:03 AM","96","15/09/2017 9:56:14 AM","15/09/2017 9:56:14 AM","3","13","21","2"
"88469","LFA8967","15/09/2017 10:21:05 AM","15","15/09/2017 10:21:14 AM","15/09/2017 10:21:13 AM","3","5","21","2"
"88470","LFA8968","15/09/2017 10:38:33 AM","101","15/09/2017 10:38:47 AM","15/09/2017 10:38:47 AM","3","10","21","2"
"88471","LFA8969","15/09/2017 12:05:49 PM","63","15/09/2017 12:06:04 PM","15/09/2017 12:06:04 PM","3","6","21","2"
"88472","LFA8970","15/09/2017 6:01:06 PM","83","15/09/2017 6:01:20 PM","","3","9","23","2"
"88473","LFA8971","15/09/2017 6:15:20 PM","86","15/09/2017 6:15:29 PM","15/09/2017 6:15:28 PM","3","12","21","2"
"88474","LFA8972","15/09/2017 6:34:20 PM","63","15/09/2017 6:34:28 PM","15/09/2017 6:34:27 PM","3","7","21","2"
"88475","LFA8973","15/09/2017 6:52:57 PM","69","15/09/2017 6:53:04 PM","15/09/2017 6:53:03 PM","3","15","21","2"
"88476","LFA8974","15/09/2017 6:55:57 PM","100","15/09/2017 6:56:08 PM","","3","17","21","2"
"88478","LFA8976","15/09/2017 7:10:26 PM","15","15/09/2017 7:10:46 PM","","3","4","21","2"
"88479","LFA8977","16/09/2017 6:09:11 AM","83","16/09/2017 6:09:59 AM","","3","8","21","2"
"88480","LFA8978","16/09/2017 6:46:50 AM","86","16/09/2017 6:46:59 AM","","3","11","21","2"
"88481","LFA8979","16/09/2017 6:58:04 AM","100","16/09/2017 6:58:36 AM","","3","16","21","2"
"88482","LFA8980","16/09/2017 7:15:12 AM","63","16/09/2017 7:16:19 AM","","3","6","21","2"
"88483","LFA8981","16/09/2017 7:18:24 AM","15","16/09/2017 7:18:31 AM","","3","4","21","2"
"88484","LFA8982","16/09/2017 9:24:16 AM","98","16/09/2017 9:24:25 AM","","3","5","21","2"
"88485","LFA8983","16/09/2017 9:41:56 AM","15","16/09/2017 9:42:08 AM","","3","2","21","2"
"88486","LFA8984","16/09/2017 9:55:06 AM","101","16/09/2017 9:55:37 AM","","3","10","21","2"
"88487","LFA8985","16/09/2017 10:16:05 AM","86","16/09/2017 10:16:13 AM","16/09/2017 10:16:12 AM","3","13","21","2"
"88488","LFA8986","16/09/2017 2:37:51 PM","69","16/09/2017 2:38:06 PM","16/09/2017 2:38:05 PM","5","14","21","2"
"88489","LFA8987","16/09/2017 6:45:12 PM","63","16/09/2017 6:45:31 PM","","3","7","21","2"
