School_ID,Sector,State
63850,0,NSW
163972,1,QLD
164662,0,NSW
165150,1,QLD
164423,0,VIC
165100,0,NSW
63835,0,NSW
63913,3,QLD
164139,0,NSW
164503,0,QLD
164624,0,QLD
164916,0,NSW
165045,1,QLD
63879,0,VIC
63833,0,ACT
164377,0,
164665,0,NSW
164967,1,QLD
165127,0,NSW
164886,1,QLD
165057,0,WA
63908,1,QLD
165078,0,
165095,0,ACT
63958,0,NSW
164429,0,NSW
164497,0,ACT
164788,0,NSW
165139,0,NSW
164011,0,NSW
164759,0,NSW
165074,0,NSW
165158,0,NSW
165205,0,WA
63854,1,QLD
63885,0,NSW
164077,0,NSW
164371,0,VIC
164481,0,QLD
164520,0,NSW
164535,0,VIC
164655,0,NSW
164870,0,
164929,0,NSW
63855,1,QLD
164269,1,QLD
164960,1,QLD
63844,0,NSW
63956,1,QLD
164004,0,NSW
164871,0,NSW
165079,0,NSW
63894,0,NSW
164314,1,QLD
63818,1,QLD
163999,0,NSW
164149,0,NSW
164320,1,QLD
165092,0,QLD
63900,1,QLD
164302,0,VIC
164771,1,QLD
164915,0,WA
165126,0,QLD
165148,1,QLD
63639,0,ACT
63627,0,NSW
163971,0,VIC
163981,0,NSW
164112,1,QLD
164551,0,ACT
164702,0,QLD
165049,1,QLD
165052,3,QLD
165082,0,VIC
165096,0,NSW
63712,0,QLD
164107,3,QLD
165166,0,NSW
164927,0,NSW
164020,0,NSW
164181,0,NSW
164199,0,ACT
164292,1,QLD
164379,0,WA
164595,0,VIC
164845,0,QLD
164864,0,NSW
165152,0,QLD
164358,0,ACT
164010,0,NT
164835,0,NSW
165003,0,NSW
164090,1,QLD
164619,0,NSW
164973,0,SA
165009,0,NSW
63723,1,QLD
63955,0,WA
164249,1,QLD
164400,0,VIC
164625,1,QLD
164633,0,VIC
164635,1,QLD
165075,0,WA
165111,0,NSW
63730,3,QLD
63960,0,NSW
164517,0,VIC
164863,0,NSW
63710,1,QLD
164902,1,QLD
164906,0,QLD
63815,1,QLD
164574,0,QLD
164618,0,NSW
63713,1,QLD
164580,0,NSW
63626,0,NSW
164697,0,NSW
63853,0,NSW
164096,0,VIC
164567,0,NSW
63957,1,QLD
164106,1,QLD
63720,0,WA
63941,0,NSW
163977,1,QLD
164167,1,QLD
164395,0,NSW
164529,0,WA
164688,0,ACT
164878,3,QLD
164930,0,QLD
164970,0,VIC
165053,0,VIC
63777,1,QLD
63905,0,WA
164061,0,SA
164639,0,WA
165207,0,
164475,0,VIC
164923,0,NSW
165084,0,VIC
164047,0,NSW
164493,0,VIC
164516,0,QLD
164656,0,NSW
164780,0,WA
63619,0,NSW
164188,0,NSW
164374,0,NSW
164408,0,NSW
165040,1,QLD
63680,1,QLD
164220,0,VIC
164415,1,QLD
63647,1,QLD
63924,0,
164492,0,VIC
164663,0,WA
165128,1,QLD
164452,0,NSW
165133,0,VIC
164083,0,NSW
164142,1,QLD
164383,0,NSW
164578,1,QLD
164725,0,QLD
63684,0,
63716,1,QLD
63791,0,NSW
164584,0,
63808,0,WA
63852,0,NSW
164796,1,QLD
63887,0,NSW
63860,3,QLD
164581,1,QLD
164621,0,QLD
164082,0,NSW
164051,0,NT
164869,0,NSW
164996,0,NSW
165193,0,NSW
63642,0,NSW
63757,0,NT
164836,0,VIC
164861,0,NSW
63809,0,NSW
165175,0,NSW
63752,0,NT
164122,0,NSW
164404,0,VIC
63641,0,NSW
164757,1,QLD
164174,0,ACT
164183,0,NSW
164287,0,QLD
165077,0,
164128,0,NT
164514,3,QLD
164593,3,QLD
164732,0,NSW
63828,1,QLD
63735,0,NSW
164275,1,QLD
164326,0,VIC
164446,0,NSW
164726,0,VIC
164736,0,NSW
164421,0,NT
164425,0,VIC
164866,1,QLD
165224,0,NSW
164552,0,NT
164594,0,NSW
164847,0,NSW
63883,0,ACT
63628,0,NSW
164196,3,QLD
164760,1,QLD
164839,0,NSW
164852,0,
63711,0,VIC
164159,0,QLD
164674,0,
63664,0,NSW
63693,0,NSW
63761,0,NSW
