CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2
100500,1301,198,113,750,115,58,551,83,55
101100,1170,112,70,653,65,38,517,47,32
101400,1960,202,121,1081,106,61,879,96,60
101600,633,52,33,370,35,23,263,17,10
101700,844,87,58,501,52,38,343,35,20
101800,1589,195,119,894,108,72,695,87,47
10300,614,38,34,276,21,19,338,17,15
110200,2160,160,95,1194,78,47,966,82,48
110600,1576,98,64,869,58,36,707,40,28
111300,1339,109,69,784,61,35,555,48,34
111400,749,55,36,406,41,26,343,14,10
111500,1764,204,124,1056,137,82,708,67,42
120300,894,95,63,544,62,40,350,33,23
120400,441,46,27,254,27,16,187,19,11
120700,417,53,30,242,37,17,175,16,13
120800,396,51,24,236,37,17,160,14,7
130100,1148,109,65,712,68,34,436,41,31
130200,662,86,52,413,59,37,249,27,15
130300,750,88,49,443,57,29,307,31,20
130400,631,70,40,375,43,26,256,27,14
130600,2040,200,120,1238,125,72,802,75,48
140100,1490,86,44,777,37,14,713,49,30
140200,1011,45,22,517,20,12,494,25,10
140300,2072,133,60,1097,72,30,975,61,30
140400,1572,68,40,813,33,19,759,35,21
140500,992,99,56,562,53,28,430,46,28
140600,1959,126,70,1059,71,33,900,55,37
140800,2887,175,92,1491,80,41,1396,95,51
141000,608,43,22,337,24,11,271,19,11
141100,879,84,52,464,42,25,415,42,27
141300,2472,210,77,1312,111,35,1160,99,42
141400,3333,284,139,1746,148,57,1587,136,82
151600,1463,147,84,784,72,40,679,75,44
151700,2820,276,167,1521,158,93,1299,118,74
160800,1218,102,64,636,60,31,582,42,33
160900,1004,120,65,543,75,35,461,45,30
170200,1408,115,58,713,69,32,695,46,26
170600,798,69,43,412,39,23,386,30,20
180300,1313,111,80,765,75,52,548,36,28
180700,1037,121,69,561,69,41,476,52,28
190300,900,82,49,514,44,23,386,38,26
191100,1224,128,64,657,60,25,567,68,39
191400,1223,143,85,660,81,43,563,62,42
191500,994,102,77,529,52,40,465,50,37
191600,2283,227,160,1206,119,85,1077,108,75
191700,1937,195,119,1059,115,69,878,80,50
191800,3111,322,191,1744,180,107,1367,142,84
191900,1207,84,43,658,47,22,549,37,21
192000,1937,216,131,1034,117,70,903,99,61
20100,5438,330,210,2759,172,98,2679,158,112
202200,1512,166,106,846,99,56,666,67,50
202300,2099,259,140,1151,149,66,948,110,74
20300,382,17,7,191,9,2,191,8,5
210700,1108,146,94,644,89,62,464,57,32
220600,789,68,51,394,35,25,395,33,26
240600,1433,141,84,719,69,37,714,72,47
