CT,BLPAD,BLPAN,BLWAD,BLWAN,BLMAD,BLMAN
10300,614,23,276,12,338,10
20100,5438,105,2759,43,2679,60
20300,382,12,191,3,191,7
30500,1132,87,706,61,426,22
40200,639,29,368,17,271,13
40500,302,19,164,9,138,10
40600,263,20,128,8,135,17
40900,837,64,450,33,387,31
50100,982,69,584,43,398,22
50600,1021,75,590,52,431,24
50900,832,40,525,29,307,11
51000,702,44,426,35,276,7
51100,74,0,47,0,27,0
60300,1426,103,727,51,699,51
60500,676,45,370,20,306,27
70300,945,27,491,13,454,20
70500,1117,20,580,12,537,10
70600,1031,32,592,18,439,15
70800,895,15,497,6,398,8
70900,1910,53,1021,26,889,27
80200,838,67,469,42,369,25
80400,605,34,310,18,295,14
80600,1043,39,543,21,500,15
80700,698,21,379,8,319,12
80900,914,49,484,27,430,23
90100,924,44,494,24,430,20
90200,1404,110,808,54,596,57
90300,811,59,441,28,370,29
100500,1301,115,750,65,551,53
101100,1170,62,653,35,517,29
101400,1960,118,1081,58,879,56
101600,633,24,370,17,263,7
101700,844,47,501,30,343,15
101800,1589,118,894,62,695,57
110200,2160,92,1194,43,966,48
110600,1576,48,869,26,707,25
111300,1339,52,784,30,555,21
111400,749,28,406,22,343,11
111500,1764,96,1056,61,708,33
120300,894,48,544,30,350,23
120400,441,26,254,19,187,8
120700,417,31,242,23,175,6
120800,396,26,236,18,160,6
130100,1148,49,712,29,436,24
130200,662,40,413,26,249,17
130300,750,46,443,30,307,14
130400,631,33,375,19,256,13
130600,2040,109,1238,65,802,39
140100,1490,51,777,20,713,37
140200,1011,18,517,7,494,13
140300,2072,83,1097,45,975,42
140400,1572,34,813,13,759,23
140500,992,55,562,31,430,25
140600,1959,73,1059,37,900,36
140800,2887,97,1491,42,1396,59
141000,608,22,337,10,271,22
141100,879,51,464,28,415,22
141300,2472,118,1312,59,1160,60
141400,3333,176,1746,84,1587,92
151600,1463,96,784,46,679,50
151700,2820,175,1521,102,1299,74
160800,1218,72,636,39,582,38
160900,1004,69,543,41,461,29
170200,1408,70,713,43,695,26
170600,798,48,412,27,386,22
180300,1313,57,765,32,548,24
180700,1037,78,561,41,476,36
190300,900,53,514,25,386,31
191100,1224,89,657,40,567,53
191400,1223,96,660,53,563,43
191500,994,74,529,34,465,42
191600,2283,146,1206,81,1077,72
191700,1937,119,1059,69,878,51
191800,3111,214,1744,109,1367,104
191900,1207,47,658,23,549,24
192000,1937,146,1034,81,903,67
202200,1512,105,846,58,666,44
202300,2099,157,1151,84,948,73
210700,1108,78,644,47,464,26
220600,789,38,394,20,395,15
240600,1433,103,719,47,714,50
241200,515,47,279,22,236,24
250300,642,22,335,11,307,12
250700,441,13,263,7,178,6
250900,758,48,462,23,296,21
260200,1225,67,657,29,568,35
260700,992,56,535,30,457,26
260900,1191,27,694,21,497,6
261200,648,54,344,30,304,23
261400,1361,84,777,49,584,29
261500,833,50,483,28,350,22
262000,1381,112,803,59,578,53
270100,1406,87,805,45,601,40
270300,1004,56,556,28,448,28
270400,629,35,348,22,281,11
270800,1653,126,925,60,728,64
271500,1853,114,1026,62,827,43
281400,1606,95,915,58,691,39
281500,796,58,446,35,350,25
290100,1311,76,708,34,603,45
290200,2580,171,1421,95,1159,76
290400,2404,133,1350,65,1054,67
300100,2190,133,1268,83,922,46
310200,2019,176,1075,84,944,92
310300,636,43,336,21,300,23
320400,1145,91,614,50,531,44
320600,1396,83,755,39,641,44
320700,898,66,476,29,422,40
401100,2937,274,1636,143,1301,129
401200,1584,141,900,85,684,56
401300,1760,148,958,75,802,72
402000,1873,182,1030,103,843,76
403500,2444,197,1356,105,1088,86
404000,799,59,431,27,368,35
405000,702,60,359,32,343,30
406000,1451,143,727,65,724,78
407001,3073,227,1637,122,1436,108
407002,3785,264,2042,120,1743,143
408001,3147,214,1682,123,1465,92
408002,3811,172,1993,80,1818,95
409000,6835,218,3495,95,3340,124
410000,677,30,347,12,330,21
411000,3152,127,1657,55,1495,72
412001,4813,185,2496,67,2317,120
412002,3133,140,1609,56,1524,85
413100,3712,196,1969,91,1743,105
413201,2061,124,1080,60,981,63
413202,1564,85,858,48,706,39
413300,2790,200,1487,93,1303,108
413400,2733,169,1451,72,1282,98
413500,3204,244,1740,126,1464,119
414101,3298,171,1742,78,1556,94
414102,4381,262,2340,123,2041,140
414200,3452,179,1786,79,1666,102
415001,2708,142,1371,59,1337,84
415002,1640,94,836,46,804,50
416000,919,88,502,48,417,40
417100,1196,92,646,41,550,50
417200,718,52,373,26,345,27
418000,1063,86,595,47,468,42
419000,1681,137,933,81,748,63
420000,813,68,469,39,344,29
421100,3032,152,1608,70,1424,90
421200,3048,139,1596,53,1452,88
422000,3694,117,1867,41,1827,77
423000,1563,64,896,37,667,29
424000,1959,138,1069,75,890,62
425000,2028,110,1107,49,921,64
426300,3861,262,2097,127,1764,134
426400,2704,194,1486,107,1218,88
426700,1355,104,750,47,605,57
426800,3383,240,1777,108,1606,132
427000,2033,130,1114,62,919,67
427100,3615,228,1941,114,1674,114
427200,3146,183,1738,96,1408,86
428100,773,78,409,30,364,46
428200,1390,110,733,52,657,55
429100,1400,103,773,52,627,51
429201,2409,183,1275,92,1134,92
429202,2893,190,1587,84,1306,106
429300,3339,305,1849,159,1490,146
429400,2367,166,1281,84,1086,83
429500,2383,215,1323,125,1060,89
429600,1885,111,1060,56,825,56
429700,1389,120,741,53,648,67
430100,1147,74,636,38,511,36
430200,2656,193,1480,100,1176,93
431100,1758,93,980,40,778,51
431400,1050,53,589,29,461,23
431500,1495,85,813,43,682,40
432300,1141,108,668,66,473,40
432400,1419,101,833,52,586,45
434000,1102,58,583,29,519,30
435000,1549,85,831,36,718,49
437000,3272,142,1707,67,1565,76
439000,744,41,391,19,353,30
445500,1995,100,1117,49,878,48
446000,1003,46,547,21,456,30
447000,657,32,354,16,303,17
448000,627,46,360,26,267,19
449000,1353,126,711,64,642,63
450700,1566,142,861,71,705,68
450800,1408,131,784,68,624,64
451101,1956,131,1060,70,896,61
451102,2028,148,1053,63,975,83
451104,1919,82,1012,39,907,44
451105,1826,138,970,66,856,71
451300,4079,279,2155,125,1924,159
452000,2317,147,1257,74,1060,72
453003,1008,79,517,42,491,40
453004,3169,182,1719,76,1450,107
455000,888,87,466,40,422,47
456001,1175,51,640,22,535,29
456003,2407,134,1282,58,1125,75
456004,2593,179,1464,103,1129,77
457100,733,70,416,40,317,29
457200,2006,187,1120,106,886,82
458000,4590,349,2482,174,2108,177
459101,1063,73,560,31,503,43
459102,3291,187,1754,90,1537,95
459201,3176,238,1678,123,1498,113
459202,363,24,223,14,140,11
460001,2715,228,1493,109,1222,117
460002,2087,190,1121,97,966,94
461000,504,47,272,23,232,25
462100,1576,108,870,53,706,55
462600,2081,124,1163,65,918,57
463900,1492,116,836,61,656,49
464300,1778,113,973,56,805,57
464400,2063,103,1203,56,860,39
465600,1354,107,746,64,608,49
465800,1929,113,1053,56,876,59
468700,884,70,481,32,403,38
468800,1104,72,615,39,489,31
468900,1964,132,1128,80,836,54
469000,2782,207,1513,101,1269,108
470300,2264,235,1293,117,971,120
470400,1758,151,978,71,780,83
470501,1434,74,795,38,639,36
470502,1767,153,977,76,790,78
470600,1520,116,834,55,686,63
471000,574,38,311,18,263,20
472100,1246,72,698,37,548,37
472200,1128,54,585,24,543,30
472300,965,55,536,24,429,34
472400,1116,81,606,33,510,50
473100,2791,139,1500,72,1291,69
473200,1831,88,1042,43,789,46
473300,3433,199,1907,108,1526,92
473401,2135,90,1113,47,1022,47
