CT,BTPAD,BTPAN,BTWAD,BTWAN,BTMAD,BTMAN
10300,614,28,276,16,338,12
20100,5438,139,2759,60,2679,79
20300,382,12,191,5,191,7
30500,1132,139,706,102,426,37
40200,639,49,368,31,271,18
40500,302,23,164,10,138,12
40600,263,21,128,18,135,39
40900,837,84,450,44,387,34
50100,982,91,584,77,398,40
50600,1021,114,590,47,431,22
50900,832,62,525,39,307,20
51000,702,75,426,49,276,2
51100,74,8,47,41,27,59
60300,1426,119,727,38,699,30
60500,676,50,370,17,306,15
70300,945,33,491,16,454,9
70500,1117,23,580,15,537,12
70600,1031,35,592,19,439,9
70800,895,17,497,23,398,47
70900,1910,78,1021,43,889,27
80200,838,77,469,34,369,13
80400,605,35,310,25,295,20
80600,1043,47,543,13,500,14
80700,698,24,379,35,319,26
80900,914,61,484,25,430,25
90100,924,55,494,54,430,60
90200,1404,131,808,46,596,38
90300,811,71,441,67,370,62
100500,1301,146,750,49,551,37
101100,1170,82,653,62,517,75
101400,1960,144,1081,44,879,13
101600,633,41,370,40,263,27
101700,844,70,501,71,343,63
101800,1589,135,894,49,695,65
110200,2160,113,1194,46,966,27
110600,1576,70,869,37,707,33
111300,1339,78,784,36,555,8
111400,749,41,406,58,343,52
111500,1764,157,1056,88,708,28
120300,894,79,544,44,350,17
120400,441,40,254,28,187,12
120700,417,42,242,26,175,13
120800,396,42,236,39,160,33
130100,1148,85,712,47,436,21
130200,662,62,413,47,249,28
130300,750,76,443,31,307,24
130400,631,55,375,63,256,60
130600,2040,153,1238,72,802,35
140100,1490,57,777,12,713,11
140200,1011,21,517,36,494,39
140300,2072,87,1097,24,975,27
140400,1572,43,813,29,759,34
140500,992,72,562,40,430,40
140600,1959,78,1059,40,900,63
140800,2887,114,1491,33,1396,11
141000,608,26,337,24,271,30
141100,879,59,464,69,415,64
141300,2472,139,1312,84,1160,103
141400,3333,207,1746,67,1587,50
151600,1463,105,784,77,679,84
151700,2820,191,1521,75,1299,41
160800,1218,87,636,53,582,33
160900,1004,91,543,63,461,34
170200,1408,86,713,38,695,22
170600,798,54,412,29,386,28
180300,1313,80,765,67,548,40
180700,1037,93,561,43,476,32
190300,900,62,514,42,386,53
191100,1224,96,657,57,567,51
191400,1223,123,660,43,563,38
191500,994,77,529,77,465,83
191600,2283,169,1206,89,1077,59
191700,1937,139,1059,109,878,107
191800,3111,239,1744,70,1367,22
191900,1207,57,658,74,549,68
192000,1937,159,1034,67,903,56
202200,1512,119,846,105,666,81
202300,2099,184,1151,47,948,40
210700,1108,109,644,60,464,17
220600,789,45,394,48,395,59
240600,1433,105,719,20,714,27
241200,515,51,279,25,236,11
250300,642,31,335,13,307,9
250700,441,18,263,17,178,22
250900,758,46,462,38,296,50
260200,1225,88,657,31,568,28
260700,992,65,535,22,457,16
260900,1191,45,694,53,497,32
261200,648,65,344,59,304,46
261400,1361,127,777,49,584,30
261500,833,73,483,66,350,64
262000,1381,135,803,67,578,44
270100,1406,101,805,40,601,31
270300,1004,71,556,32,448,18
270400,629,51,348,83,281,79
270800,1653,164,925,57,728,68
271500,1853,145,1026,84,827,38
281400,1606,101,915,41,691,25
281500,796,66,446,39,350,47
