CT,BTLPAD,BTLPAN,BTLWAD,BTLWAN,BTLMAD,BTLMAN
10300,614,18,276,10,338,8
20100,5438,88,2759,35,2679,53
20300,382,8,191,0,191,0
30500,1132,77,706,56,426,21
40200,639,26,368,14,271,12
40500,302,16,164,7,138,9
40600,263,12,128,4,135,8
40900,837,57,450,27,387,30
50100,982,61,584,39,398,22
50600,1021,65,590,44,431,21
50900,832,35,525,25,307,10
51000,702,40,426,32,276,8
51100,74,0,47,0,27,0
60300,1426,81,727,41,699,40
60500,676,33,370,16,306,17
70300,945,23,491,11,454,12
70500,1117,13,580,9,537,4
70600,1031,21,592,12,439,9
70800,895,11,497,5,398,6
70900,1910,41,1021,18,889,23
80200,838,56,469,34,369,22
80400,605,27,310,16,295,11
80600,1043,33,543,18,500,15
80700,698,15,379,6,319,9
80900,914,43,484,23,430,20
90100,924,41,494,23,430,18
90200,1404,99,808,49,596,50
90300,811,48,441,21,370,27
100500,1301,98,750,53,551,45
101100,1170,53,653,28,517,25
101400,1960,97,1081,48,879,49
101600,633,18,370,12,263,6
101700,844,40,501,25,343,15
101800,1589,97,894,52,695,45
110200,2160,76,1194,32,966,44
110600,1576,42,869,24,707,18
111300,1339,37,784,23,555,14
111400,749,20,406,17,343,3
111500,1764,82,1056,55,708,27
120300,894,47,544,29,350,18
120400,441,23,254,16,187,7
120700,417,26,242,21,175,5
120800,396,20,236,14,160,6
130100,1148,45,712,27,436,18
130200,662,37,413,25,249,12
130300,750,42,443,29,307,13
130400,631,28,375,15,256,13
130600,2040,92,1238,53,802,39
140100,1490,40,777,13,713,27
140200,1011,14,517,6,494,8
140300,2072,66,1097,34,975,32
140400,1572,25,813,8,759,17
140500,992,44,562,24,430,20
140600,1959,55,1059,24,900,31
140800,2887,72,1491,30,1396,42
141000,608,17,337,10,271,7
141100,879,41,464,23,415,18
141300,2472,97,1312,50,1160,47
141400,3333,145,1746,69,1587,76
151600,1463,80,784,41,679,39
151700,2820,137,1521,81,1299,56
160800,1218,64,636,32,582,32
160900,1004,62,543,38,461,24
170200,1408,57,713,34,695,23
170600,798,42,412,23,386,19
180300,1313,48,765,26,548,22
180700,1037,67,561,34,476,33
190300,900,44,514,18,386,26
191100,1224,76,657,34,567,42
191400,1223,88,660,50,563,38
191500,994,60,529,27,465,33
191600,2283,118,1206,66,1077,52
191700,1937,99,1059,56,878,43
191800,3111,176,1744,92,1367,84
191900,1207,34,658,18,549,16
192000,1937,124,1034,69,903,55
202200,1512,84,846,43,666,41
202300,2099,126,1151,67,948,59
210700,1108,60,644,39,464,21
220600,789,25,394,16,395,9
240600,1433,84,719,37,714,47
241200,515,40,279,18,236,22
250300,642,18,335,10,307,8
250700,441,9,263,0,178,0
250900,758,34,462,16,296,18
260200,1225,63,657,27,568,36
260700,992,45,535,21,457,24
260900,1191,21,694,15,497,6
261200,648,45,344,23,304,22
261400,1361,74,777,43,584,31
261500,833,40,483,22,350,18
262000,1381,93,803,48,578,45
270100,1406,71,805,38,601,33
270300,1004,50,556,24,448,26
270400,629,26,348,16,281,10
270800,1653,106,925,48,728,58
271500,1853,86,1026,46,827,40
281400,1606,78,915,49,691,29
281500,796,44,446,28,350,16
290100,1311,67,708,29,603,38
290200,2580,146,1421,77,1159,69
290400,2404,111,1350,59,1054,52
300100,2190,113,1268,72,922,41
310200,2019,150,1075,74,944,76
310300,636,35,336,19,300,16
320400,1145,76,614,41,531,35
320600,1396,68,755,32,641,36
320700,898,57,476,24,422,33
401100,2937,238,1636,123,1301,115
401200,1584,118,900,76,684,42
401300,1760,128,958,66,802,62
402000,1873,162,1030,92,843,70
403500,2444,158,1356,86,1088,72
404000,799,49,431,24,368,25
405000,702,51,359,30,343,21
406000,1451,127,727,56,724,71
407001,3073,189,1637,102,1436,87
407002,3785,221,2042,96,1743,125
408001,3147,179,1682,103,1465,76
